File: norway_metro_8, AVG Reward: 0.25312499999999993
File: norway_ferry_4, AVG Reward: 0.24270833333333333
File: norway_ferry_3, AVG Reward: 0.7614583333333332
File: norway_metro_6, AVG Reward: 0.2197916666666666
File: norway_metro_1, AVG Reward: 0.8270833333333337
File: norway_bus_6, AVG Reward: 0.8437500000000003
File: norway_bus_1, AVG Reward: 1.4625000000000004
File: norway_bus_8, AVG Reward: 1.3093750000000006
File: norway_metro_7, AVG Reward: 0.4281250000000001
File: norway_metro_10, AVG Reward: 0.39270833333333344
File: norway_ferry_2, AVG Reward: 0.5552083333333335
File: norway_metro_9, AVG Reward: 0.33229166666666665
File: norway_ferry_5, AVG Reward: 0.5052083333333334
File: norway_bus_9, AVG Reward: 1.2000000000000006
File: norway_bus_7, AVG Reward: 1.4239583333333339
File: norway_tram_15, AVG Reward: -0.16666666666666666
File: norway_tram_12, AVG Reward: 0.3187499999999999
File: norway_tram_24, AVG Reward: 0.27395833333333336
File: norway_tram_23, AVG Reward: 0.26562500000000006
File: norway_tram_48, AVG Reward: 0.16874999999999993
File: norway_train_12, AVG Reward: 0.5364583333333334
File: norway_tram_46, AVG Reward: 0.23020833333333346
File: norway_tram_41, AVG Reward: 0.3333333333333333
File: norway_train_15, AVG Reward: 0.897916666666667
File: norway_tram_22, AVG Reward: 0.03124999999999999
File: norway_tram_25, AVG Reward: 0.3489583333333334
File: norway_tram_13, AVG Reward: 0.37500000000000006
File: norway_tram_14, AVG Reward: 0.2416666666666666
File: norway_train_14, AVG Reward: 0.8177083333333336
File: norway_tram_40, AVG Reward: 0.2427083333333333
File: norway_tram_47, AVG Reward: 0.3416666666666668
File: norway_train_13, AVG Reward: 0.851041666666667
File: norway_tram_49, AVG Reward: 0.3375000000000001
File: norway_tram_54, AVG Reward: 0.4906249999999999
File: norway_tram_53, AVG Reward: -0.2749999999999999
File: norway_ferry_12, AVG Reward: 0.869791666666667
File: norway_ferry_15, AVG Reward: 1.1114583333333337
File: norway_car_1, AVG Reward: 1.1052083333333338
File: norway_tram_36, AVG Reward: 0.28958333333333336
File: norway_tram_31, AVG Reward: 0.240625
File: norway_car_6, AVG Reward: 0.7708333333333331
File: norway_tram_38, AVG Reward: 0.20625000000000004
File: norway_car_8, AVG Reward: 1.0656250000000005
File: norway_ferry_14, AVG Reward: 1.3604166666666673
File: norway_ferry_13, AVG Reward: 0.7979166666666669
File: norway_tram_52, AVG Reward: 0.5229166666666668
File: norway_tram_55, AVG Reward: 0.6947916666666667
File: norway_car_9, AVG Reward: 1.0593750000000004
File: norway_tram_39, AVG Reward: 0.35104166666666675
File: norway_car_7, AVG Reward: 0.2989583333333333
File: norway_tram_30, AVG Reward: 0.2322916666666666
File: norway_tram_37, AVG Reward: 0.40416666666666684
File: norway_car_12, AVG Reward: 0.6375000000000003
File: norway_tram_9, AVG Reward: 0.2010416666666666
File: norway_train_2, AVG Reward: 0.19166666666666662
File: norway_train_5, AVG Reward: 0.591666666666667
File: norway_tram_7, AVG Reward: 0.29583333333333345
File: norway_bus_13, AVG Reward: -0.23229166666666665
File: norway_bus_14, AVG Reward: 0.5406250000000001
File: norway_bus_22, AVG Reward: 1.0270833333333338
File: norway_tram_6, AVG Reward: 0.19687500000000002
File: norway_train_4, AVG Reward: 0.5072916666666668
File: norway_train_3, AVG Reward: 0.1729166666666667
File: norway_tram_1, AVG Reward: 0.30416666666666664
File: norway_tram_8, AVG Reward: 0.2479166666666667
File: norway_bus_23, AVG Reward: 0.5333333333333334
File: norway_bus_15, AVG Reward: 1.4979166666666668
File: norway_bus_12, AVG Reward: 0.008333333333333252
File: norway_bus_2, AVG Reward: 1.2833333333333339
File: norway_bus_5, AVG Reward: 0.3364583333333333
File: norway_ferry_7, AVG Reward: 0.9385416666666666
File: norway_metro_2, AVG Reward: 0.8822916666666668
File: norway_ferry_9, AVG Reward: 0.3458333333333334
File: norway_metro_5, AVG Reward: 0.6697916666666668
File: norway_bus_4, AVG Reward: 1.1572916666666673
File: norway_bus_3, AVG Reward: 0.9572916666666668
File: norway_ferry_8, AVG Reward: 0.5250000000000002
File: norway_metro_4, AVG Reward: 0.3229166666666667
File: norway_metro_3, AVG Reward: 0.47812499999999997
File: norway_ferry_6, AVG Reward: 1.1479166666666674
File: norway_ferry_1, AVG Reward: 1.0666666666666669
File: norway_train_18, AVG Reward: 1.3197916666666674
File: norway_train_20, AVG Reward: 0.6125000000000002
File: norway_tram_42, AVG Reward: 0.5260416666666669
File: norway_train_16, AVG Reward: 1.072916666666667
File: norway_train_11, AVG Reward: 0.7541666666666669
File: norway_tram_45, AVG Reward: -0.0010416666666664548
File: norway_tram_11, AVG Reward: 0.18749999999999997
File: norway_tram_16, AVG Reward: 0.2947916666666667
File: norway_tram_29, AVG Reward: 0.19166666666666665
File: norway_tram_20, AVG Reward: 0.36979166666666674
File: norway_tram_27, AVG Reward: 0.30312500000000003
File: norway_tram_18, AVG Reward: 0.271875
File: norway_tram_44, AVG Reward: 0.32500000000000007
File: norway_train_10, AVG Reward: 1.1375000000000004
File: norway_train_17, AVG Reward: 0.835416666666667
File: norway_tram_43, AVG Reward: 0.5645833333333334
File: norway_train_21, AVG Reward: 1.1312500000000005
File: norway_train_19, AVG Reward: 0.7229166666666669
File: norway_tram_26, AVG Reward: 0.06458333333333324
File: norway_tram_19, AVG Reward: 0.4645833333333334
File: norway_tram_21, AVG Reward: 0.24375000000000002
File: norway_tram_17, AVG Reward: 0.12604166666666658
File: norway_tram_28, AVG Reward: 0.18229166666666663
File: norway_tram_10, AVG Reward: 0.28541666666666665
File: norway_tram_32, AVG Reward: 0.27708333333333335
File: norway_car_5, AVG Reward: 0.4322916666666668
File: norway_car_2, AVG Reward: 0.4729166666666667
File: norway_tram_35, AVG Reward: 0.18229166666666663
File: norway_ferry_18, AVG Reward: 0.21250000000000002
File: norway_tram_50, AVG Reward: 0.30625000000000013
File: norway_ferry_20, AVG Reward: -0.4739583333333333
File: norway_ferry_16, AVG Reward: 1.3843750000000006
File: norway_ferry_11, AVG Reward: 0.6135416666666669
