File: norway_train_15, AVG Reward: 1.4395833333333339
File: norway_train_1, AVG Reward: 0.6447916666666667
File: norway_car_6, AVG Reward: 0.8583333333333333
File: norway_train_10, AVG Reward: 1.5354166666666667
File: norway_bus_4, AVG Reward: 1.673958333333333
File: norway_ferry_5, AVG Reward: 0.4364583333333334
File: norway_train_3, AVG Reward: 0.23541666666666664
File: norway_bus_20, AVG Reward: 1.1489583333333329
File: norway_ferry_4, AVG Reward: 0.2197916666666667
File: norway_tram_37, AVG Reward: 0.5854166666666666
File: norway_tram_49, AVG Reward: 0.18437500000000004
File: norway_train_12, AVG Reward: 0.8718750000000003
File: norway_tram_18, AVG Reward: 0.37916666666666665
File: norway_metro_5, AVG Reward: 0.7510416666666666
File: norway_metro_4, AVG Reward: 0.609375
File: norway_train_17, AVG Reward: 1.2062500000000005
File: norway_bus_6, AVG Reward: 1.1281250000000005
File: norway_train_9, AVG Reward: 0.5020833333333333
File: norway_train_5, AVG Reward: 0.6864583333333334
File: norway_metro_7, AVG Reward: 0.5291666666666667
File: norway_metro_1, AVG Reward: 0.9437500000000004
File: norway_tram_6, AVG Reward: 0.46458333333333335
File: norway_bus_13, AVG Reward: 0.9041666666666665
File: norway_car_4, AVG Reward: 0.8270833333333335
File: norway_tram_35, AVG Reward: 0.23333333333333325
File: norway_ferry_6, AVG Reward: 1.6614583333333333
File: norway_tram_33, AVG Reward: 0.50625
File: norway_bus_23, AVG Reward: 0.8020833333333336
File: norway_tram_25, AVG Reward: 0.45937500000000026
File: norway_tram_12, AVG Reward: 0.4114583333333335
File: norway_metro_2, AVG Reward: 0.9395833333333337
File: norway_bus_7, AVG Reward: 2.2833333333333323
File: norway_ferry_16, AVG Reward: 2.258333333333332
File: norway_ferry_9, AVG Reward: 0.1614583333333333
File: norway_ferry_17, AVG Reward: 0.46875000000000017
File: norway_metro_9, AVG Reward: 0.4729166666666667
File: norway_tram_10, AVG Reward: 0.5135416666666667
File: norway_train_19, AVG Reward: 1.0166666666666668
File: norway_tram_21, AVG Reward: 0.3750000000000002
File: norway_tram_47, AVG Reward: 0.0031250000000000258
File: norway_car_3, AVG Reward: 0.8291666666666669
File: norway_bus_19, AVG Reward: 0.9687500000000001
File: norway_tram_1, AVG Reward: 0.1958333333333334
File: norway_tram_54, AVG Reward: 0.663541666666667
File: norway_bus_18, AVG Reward: 1.0500000000000005
File: norway_tram_32, AVG Reward: 0.5104166666666666
File: norway_bus_11, AVG Reward: 0.7927083333333336
File: norway_train_21, AVG Reward: 1.0020833333333337
File: norway_tram_8, AVG Reward: 0.2666666666666668
File: norway_tram_24, AVG Reward: 0.39375
File: norway_tram_27, AVG Reward: 0.25729166666666675
File: norway_car_9, AVG Reward: 0.7895833333333333
File: norway_tram_11, AVG Reward: 0.06458333333333327
File: norway_tram_13, AVG Reward: 0.4031250000000001
File: norway_tram_40, AVG Reward: 0.2333333333333333
File: norway_ferry_19, AVG Reward: 0.33541666666666675
File: norway_bus_22, AVG Reward: 1.2114583333333335
File: norway_bus_2, AVG Reward: 1.336458333333334
File: norway_tram_48, AVG Reward: 0.10520833333333335
File: norway_bus_8, AVG Reward: 1.8333333333333328
File: norway_tram_44, AVG Reward: 0.5572916666666666
File: norway_tram_55, AVG Reward: 0.6916666666666665
File: norway_tram_28, AVG Reward: -0.0979166666666667
File: norway_metro_10, AVG Reward: 0.6364583333333333
File: norway_train_6, AVG Reward: 0.5895833333333335
File: norway_bus_10, AVG Reward: 1.0614583333333334
File: norway_ferry_8, AVG Reward: 0.5395833333333334
File: norway_tram_45, AVG Reward: -0.5781249999999998
File: norway_train_7, AVG Reward: 0.16041666666666674
File: norway_tram_46, AVG Reward: 0.036458333333333315
File: norway_car_5, AVG Reward: 0.5062500000000002
File: norway_ferry_3, AVG Reward: 0.7802083333333334
File: norway_bus_16, AVG Reward: 3.0906250000000006
File: norway_car_1, AVG Reward: 0.8104166666666662
File: norway_train_4, AVG Reward: 0.5645833333333335
File: norway_tram_51, AVG Reward: 0.3052083333333334
File: norway_bus_5, AVG Reward: 0.46250000000000013
File: norway_tram_30, AVG Reward: 0.21562499999999996
File: norway_bus_3, AVG Reward: 0.9041666666666667
File: norway_metro_6, AVG Reward: 0.13125000000000006
File: norway_tram_22, AVG Reward: -0.19375
File: norway_tram_36, AVG Reward: 0.4593750000000001
File: norway_tram_17, AVG Reward: 0.19166666666666662
