File: norway_train_15, AVG Reward: 1.545744680851064
File: norway_train_1, AVG Reward: 0.7340425531914894
File: norway_car_6, AVG Reward: 0.9521276595744682
File: norway_train_10, AVG Reward: 1.6436170212765955
File: norway_bus_4, AVG Reward: 1.7851063829787228
File: norway_ferry_5, AVG Reward: 0.5212765957446809
File: norway_train_3, AVG Reward: 0.3159574468085106
File: norway_bus_20, AVG Reward: 1.2489361702127655
File: norway_ferry_4, AVG Reward: 0.3
File: norway_tram_37, AVG Reward: 0.6734042553191489
File: norway_tram_49, AVG Reward: 0.26382978723404266
File: norway_train_12, AVG Reward: 0.965957446808511
File: norway_tram_18, AVG Reward: 0.46276595744680865
File: norway_metro_5, AVG Reward: 0.8425531914893617
File: norway_metro_4, AVG Reward: 0.6978723404255318
File: norway_train_17, AVG Reward: 1.3074468085106388
File: norway_bus_6, AVG Reward: 1.2276595744680854
File: norway_train_9, AVG Reward: 0.5882978723404255
File: norway_train_5, AVG Reward: 0.7765957446808512
File: norway_metro_7, AVG Reward: 0.6159574468085106
File: norway_metro_1, AVG Reward: 1.03936170212766
File: norway_tram_6, AVG Reward: 0.55
File: norway_bus_13, AVG Reward: 0.9989361702127657
File: norway_car_4, AVG Reward: 0.9202127659574469
File: norway_tram_35, AVG Reward: 0.3138297872340426
File: norway_ferry_6, AVG Reward: 1.7723404255319148
File: norway_tram_33, AVG Reward: 0.5925531914893618
File: norway_bus_23, AVG Reward: 0.8946808510638299
File: norway_tram_25, AVG Reward: 0.54468085106383
File: norway_tram_12, AVG Reward: 0.495744680851064
File: norway_metro_2, AVG Reward: 1.035106382978724
File: norway_bus_7, AVG Reward: 2.4074468085106373
File: norway_ferry_16, AVG Reward: 2.38191489361702
File: norway_ferry_9, AVG Reward: 0.2404255319148936
File: norway_ferry_17, AVG Reward: 0.5542553191489362
File: norway_metro_9, AVG Reward: 0.5585106382978725
File: norway_tram_10, AVG Reward: 0.6000000000000001
File: norway_train_19, AVG Reward: 1.1138297872340428
File: norway_tram_21, AVG Reward: 0.4585106382978726
File: norway_tram_47, AVG Reward: 0.07872340425531911
File: norway_car_3, AVG Reward: 0.9223404255319151
File: norway_bus_19, AVG Reward: 1.0648936170212768
File: norway_tram_1, AVG Reward: 0.27553191489361706
File: norway_tram_54, AVG Reward: 0.7531914893617022
File: norway_bus_18, AVG Reward: 1.1478723404255322
File: norway_tram_32, AVG Reward: 0.5968085106382979
File: norway_bus_11, AVG Reward: 0.8851063829787236
File: norway_train_21, AVG Reward: 1.0989361702127662
File: norway_tram_8, AVG Reward: 0.3478723404255322
